iter	Passed	Remaining
1615	20019	4757
1616	20032	4744
1617	20044	4732
1618	20056	4720
1619	20069	4707
1620	20082	4695
1621	20094	4682
1622	20106	4670
1623	20119	4658
1624	20131	4645
1625	20144	4633
1626	20156	4621
1627	20168	4608
1628	20181	4596
1629	20194	4583
1630	20206	4571
1631	20219	4559
1632	20231	4546
1633	20242	4534
1634	20254	4521
1635	20260	4507
1636	20272	4495
1637	20276	4481
1638	20287	4468
1639	20296	4455
1640	20307	4442
1641	20319	4430
1642	20331	4417
1643	20343	4405
1644	20356	4392
1645	20368	4380
1646	20380	4368
1647	20393	4355
1648	20402	4342
1649	20413	4330
1650	20426	4317
1651	20441	4306
1652	20456	4294
1653	20469	4282
1654	20483	4270
1655	20488	4256
1656	20500	4243
1657	20513	4231
1658	20526	4219
1659	20539	4206
1660	20551	4194
1661	20563	4181
1662	20575	4169
1663	20588	4157
1664	20600	4144
1665	20609	4131
